Number  Position  Material  Node1  Node2  Node3  Node4
1   9      1      193      238      239      194
2   9      1      238      283      284      239
3   9      1      283      328      329      284
4   9      1      328      373      374      329
5   9      1      373      418      419      374
6   9      1      418      463      464      419
7   9      1      463      508      509      464
8   9      1      508      553      554      509
9   9      1      553      598      599      554
10   9      1      598      643      644      599
11   9      1      643      688      689      644
12   9      1      688      733      734      689
13   9      1      733      778      779      734
14   9      1      778      823      824      779
15   9      1      823      868      869      824
16   9      1      868      913      914      869
17   9      1      913      958      959      914
18   9      1      958      1003      1004      959
19   9      1      1003      1048      1049      1004
20   9      1      1048      1093      1094      1049
21   9      1      1093      1138      1139      1094
22   9      1      1138      1183      1184      1139
23   9      1      1183      1228      1229      1184
24   9      1      1228      1273      1274      1229
25   9      1      1273      1318      1319      1274
26   9      1      1318      1363      1364      1319
27   9      1      1363      1408      1409      1364
28   9      1      1408      1453      1454      1409
29   9      1      1453      1498      1499      1454
30   9      1      1498      1543      1544      1499
31   9      1      1543      1588      1589      1544
32   9      1      1588      1633      1634      1589
33   9      1      194      239      240      195
34   9      1      239      284      285      240
35   9      1      284      329      330      285
36   9      1      329      374      375      330
37   9      1      374      419      420      375
38   9      1      419      464      465      420
39   9      1      464      509      510      465
40   9      1      509      554      555      510
41   9      1      554      599      600      555
42   9      1      599      644      645      600
43   9      1      644      689      690      645
44   9      1      689      734      735      690
45   9      1      734      779      780      735
46   9      1      779      824      825      780
47   9      1      824      869      870      825
48   9      1      869      914      915      870
49   9      1      914      959      960      915
50   9      1      959      1004      1005      960
51   9      1      1004      1049      1050      1005
52   9      1      1049      1094      1095      1050
53   9      1      1094      1139      1140      1095
54   9      1      1139      1184      1185      1140
55   9      1      1184      1229      1230      1185
56   9      1      1229      1274      1275      1230
57   9      1      1274      1319      1320      1275
58   9      1      1319      1364      1365      1320
59   9      1      1364      1409      1410      1365
60   9      1      1409      1454      1455      1410
61   9      1      1454      1499      1500      1455
62   9      1      1499      1544      1545      1500
63   9      1      1544      1589      1590      1545
64   9      1      1589      1634      1635      1590
65   9      1      195      240      241      196
66   9      1      240      285      286      241
67   9      1      285      330      331      286
68   9      1      330      375      376      331
69   9      1      375      420      421      376
70   9      1      420      465      466      421
71   9      1      465      510      511      466
72   9      1      510      555      556      511
73   9      1      555      600      601      556
74   9      1      600      645      646      601
75   9      1      645      690      691      646
76   9      1      690      735      736      691
77   9      1      735      780      781      736
78   9      1      780      825      826      781
79   9      1      825      870      871      826
80   9      1      870      915      916      871
81   9      1      915      960      961      916
82   9      1      960      1005      1006      961
83   9      1      1005      1050      1051      1006
84   9      1      1050      1095      1096      1051
85   9      1      1095      1140      1141      1096
86   9      1      1140      1185      1186      1141
87   9      1      1185      1230      1231      1186
88   9      1      1230      1275      1276      1231
89   9      1      1275      1320      1321      1276
90   9      1      1320      1365      1366      1321
91   9      1      1365      1410      1411      1366
92   9      1      1410      1455      1456      1411
93   9      1      1455      1500      1501      1456
94   9      1      1500      1545      1546      1501
95   9      1      1545      1590      1591      1546
96   9      1      1590      1635      1636      1591
97   9      1      196      241      242      197
98   9      1      241      286      287      242
99   9      1      286      331      332      287
100   9      1      331      376      377      332
101   9      1      376      421      422      377
102   9      1      421      466      467      422
103   9      1      466      511      512      467
104   9      1      511      556      557      512
105   9      1      556      601      602      557
106   9      1      601      646      647      602
107   9      1      646      691      692      647
108   9      1      691      736      737      692
109   9      1      736      781      782      737
110   9      1      781      826      827      782
111   9      1      826      871      872      827
112   9      1      871      916      917      872
113   9      1      916      961      962      917
114   9      1      961      1006      1007      962
115   9      1      1006      1051      1052      1007
116   9      1      1051      1096      1097      1052
117   9      1      1096      1141      1142      1097
118   9      1      1141      1186      1187      1142
119   9      1      1186      1231      1232      1187
120   9      1      1231      1276      1277      1232
121   9      1      1276      1321      1322      1277
122   9      1      1321      1366      1367      1322
123   9      1      1366      1411      1412      1367
124   9      1      1411      1456      1457      1412
125   9      1      1456      1501      1502      1457
126   9      1      1501      1546      1547      1502
127   9      1      1546      1591      1592      1547
128   9      1      1591      1636      1637      1592
129   9      1      197      242      243      198
130   9      1      242      287      288      243
131   9      1      287      332      333      288
132   9      1      332      377      378      333
133   9      1      377      422      423      378
134   9      1      422      467      468      423
135   9      1      467      512      513      468
136   9      1      512      557      558      513
137   9      1      557      602      603      558
138   9      1      602      647      648      603
139   9      1      647      692      693      648
140   9      1      692      737      738      693
141   9      1      737      782      783      738
142   9      1      782      827      828      783
143   9      1      827      872      873      828
144   9      1      872      917      918      873
145   9      1      917      962      963      918
146   9      1      962      1007      1008      963
147   9      1      1007      1052      1053      1008
148   9      1      1052      1097      1098      1053
149   9      1      1097      1142      1143      1098
150   9      1      1142      1187      1188      1143
151   9      1      1187      1232      1233      1188
152   9      1      1232      1277      1278      1233
153   9      1      1277      1322      1323      1278
154   9      1      1322      1367      1368      1323
155   9      1      1367      1412      1413      1368
156   9      1      1412      1457      1458      1413
157   9      1      1457      1502      1503      1458
158   9      1      1502      1547      1548      1503
159   9      1      1547      1592      1593      1548
160   9      1      1592      1637      1638      1593
